# ghfkdsjgbfkadrjehbgfadrg
0 | Hegmann Inc | 296
1 | Russel-Flatley | 439
2 | Runolfsson Steuber and Lakin | 708
3 | Hirthe PLC | 56
4 | Wolf-Huels | 561
5 | Farrell Ltd | 689
6 | Keebler Schmidt and Fahey | 183
7 | Huel Raynor and Wunsch | 80
8 | Rolfson Group | 309
9 | Lesch-Spinka | 679
# kldjjgbfdsjgbvkdsjgbfdskhjbhgfd
0 | Cremin Herman and Beatty | 48
1 | Labadie Mante and Hackett | 183
2 | Bednar Welch and Baumbach | 212
3 | Moen Marks and Schaefer | 105
4 | Wintheiser PLC | 200
5 | Kunde Padberg and Carroll | 225
6 | Conroy LLC | 145
7 | Cummerata-Price | 143
8 | Gislason Durgan and Reichert | 28
9 | Jones Wisozk and Quitzon | 96
10 | Lang Group | 69
11 | Wiza PLC | 256
12 | Lindgren-Fisher | 3
13 | Gulgowski-Weissnat | 207
14 | Rutherford Wiza and Streich | 285
15 | Hammes Kshlerin and West | 43
16 | Wintheiser Inc | 334
17 | Simonis Gorczany and West | 167
18 | Franecki Jones and Moore | 169
19 | Veum Stracke and Schuster | 82
# aliuwjgfdklijghfdskjghvbfdsjk
0 | 0 | 256 | 87.88
1 | 0 | 293 | 75.98
2 | 0 | 576 | 65.43
3 | 0 | 30 | 86.62
4 | 0 | 501 | 83.71
5 | 0 | 559 | 76.74
6 | 0 | 177 | 72.1
7 | 0 | 45 | 77.75
8 | 0 | 200 | 80.23
9 | 0 | 546 | 92.17
0 | 1 | 205 | 99.12
0 | 2 | 288 | 64.85
0 | 3 | 195 | 71.51
0 | 4 | 214 | 94
0 | 5 | 293 | 65.14
0 | 6 | 247 | 68.22
0 | 7 | 230 | 76.83
0 | 8 | 287 | 96.14
0 | 9 | 230 | 72.82
0 | 10 | 205 | 87.51
0 | 11 | 278 | 80.41
0 | 12 | 281 | 90.27
0 | 13 | 242 | 88.42
0 | 14 | 220 | 69.92
0 | 15 | 295 | 70.55
0 | 16 | 150 | 61.4
0 | 17 | 183 | 81.73
0 | 18 | 159 | 93.65
0 | 19 | 258 | 64.22
1 | 1 | 294 | 80.04
1 | 2 | 401 | 67.84
1 | 3 | 332 | 61.81
1 | 4 | 429 | 86.02
1 | 5 | 358 | 83.02
1 | 6 | 328 | 65.7
1 | 7 | 310 | 91.53
1 | 8 | 245 | 86.89
1 | 9 | 299 | 79.3
1 | 10 | 288 | 82.6
1 | 11 | 379 | 74.15
1 | 12 | 419 | 66.95
1 | 13 | 319 | 84.78
1 | 14 | 237 | 65.73
1 | 15 | 252 | 61.7
1 | 16 | 271 | 70.6
1 | 17 | 300 | 98.65
1 | 18 | 344 | 63.11
1 | 19 | 415 | 62.64
2 | 1 | 648 | 65.24
2 | 2 | 608 | 87.16
2 | 3 | 486 | 81.07
2 | 4 | 458 | 79.6
2 | 5 | 700 | 97.94
2 | 6 | 606 | 61.52
2 | 7 | 608 | 89.11
2 | 8 | 464 | 97.46
2 | 9 | 671 | 86.27
2 | 10 | 687 | 60.02
2 | 11 | 418 | 99.41
2 | 12 | 586 | 69.32
2 | 13 | 381 | 87.72
2 | 14 | 452 | 72.26
2 | 15 | 650 | 68.33
2 | 16 | 465 | 65.7
2 | 17 | 645 | 83.27
2 | 18 | 577 | 63.35
2 | 19 | 699 | 80.95
3 | 1 | 53 | 68.69
3 | 2 | 36 | 93.45
3 | 3 | 55 | 65.07
3 | 4 | 54 | 83.62
3 | 5 | 28 | 63.38
3 | 6 | 41 | 87.76
3 | 7 | 46 | 74.63
3 | 8 | 29 | 84.79
3 | 9 | 49 | 84.22
3 | 10 | 37 | 99.02
3 | 11 | 50 | 91.21
3 | 12 | 32 | 92.76
3 | 13 | 38 | 94.11
3 | 14 | 55 | 61.54
3 | 15 | 43 | 78.11
3 | 16 | 33 | 90.72
3 | 17 | 53 | 73.07
3 | 18 | 44 | 99.7
3 | 19 | 51 | 82.64
4 | 1 | 481 | 74.41
4 | 2 | 508 | 63.69
4 | 3 | 290 | 79.91
4 | 4 | 287 | 99.96
4 | 5 | 347 | 99.32
4 | 6 | 397 | 81.27
4 | 7 | 487 | 65.5
4 | 8 | 427 | 81.78
4 | 9 | 502 | 90.21
4 | 10 | 553 | 96.96
4 | 11 | 289 | 74.53
4 | 12 | 524 | 85.63
4 | 13 | 448 | 66.54
4 | 14 | 348 | 98.3
4 | 15 | 470 | 91.1
4 | 16 | 302 | 68.01
4 | 17 | 430 | 86.43
4 | 18 | 460 | 84.32
4 | 19 | 287 | 94.69
5 | 1 | 459 | 73.15
5 | 2 | 423 | 91.66
5 | 3 | 677 | 89.25
5 | 4 | 521 | 96.34
5 | 5 | 593 | 77.57
